year,export_value,import_value,location_code,partner_code,hs_product_code
2017,11365432540,3471654993,NLD,DEU,3
2008,17723930762,85196932,NOR,DEU,3
2011,12756458019,115853619,NOR,DEU,3
2012,13929400641,88973076,NOR,DEU,3
2006,12522430610,76840577,NOR,DEU,3
2007,13007610864,81853815,NOR,DEU,3
2009,10829647352,63744030,NOR,DEU,3
2010,10529557344,87703496,NOR,DEU,3
2017,11771124013,102083283,NOR,DEU,3
2013,18022342613,140622707,NOR,DEU,3
2014,16563902684,87033794,NOR,DEU,3
2015,11199013166,79340685,NOR,DEU,3
2007,17575426556,119190523,RUS,DEU,3
2006,17022967446,97876814,RUS,DEU,3
2008,24308256069,181429603,RUS,DEU,3
2015,13419345791,174286809,RUS,DEU,3
2016,11365707810,180470757,RUS,DEU,3
2005,16496572454,63465252,RUS,DEU,3
2017,17870221660,175312543,RUS,DEU,3
2009,15432089135,142513821,RUS,DEU,3
2012,28297358120,419365697,RUS,DEU,3
2010,20616200440,242303534,RUS,DEU,3
2011,28393046437,349434517,RUS,DEU,3
2013,27129511036,318778784,RUS,DEU,3
2014,23223023143,280999108,RUS,DEU,3
2009,15733985876,2401173499,ANS,DEU,3
2010,14304191709,2088871277,ANS,DEU,3
2011,19772303036,4831356819,ANS,DEU,3
2012,18907047632,5438454911,ANS,DEU,3
2013,19299077245,5805338862,ANS,DEU,3
2014,17794489471,4854356963,ANS,DEU,3
2015,15708920280,5562691287,ANS,DEU,3
2016,9965605520,6114708186,ANS,DEU,3
2017,21799250843,6811500654,ANS,DEU,3
1997,7766581207,2486198546,ANS,DEU,3
2006,15546574354,3802618255,ANS,DEU,3
2001,10913927396,3033601114,ANS,DEU,3
2002,11441075921,3001784139,ANS,DEU,3
2003,8285397404,2198915945,ANS,DEU,3
2004,9100114920,3205064108,ANS,DEU,3
2005,11023420087,2669555742,ANS,DEU,3
2007,14621109606,3446814425,ANS,DEU,3
2008,21092735524,4473312006,ANS,DEU,3
2013,3410416572,8520399904,USA,ECU,3
2014,3948644890,6864864043,USA,ECU,3
2014,11585603694,338057076,DZA,ESP,3
2013,11660103500,616669411,DZA,ESP,3
2011,9993133612,14484491,RUS,ESP,3
2008,10916559552,379969902,RUS,FIN,3
2012,9931382153,449281753,RUS,FIN,3
2011,12433485185,378867101,RUS,FIN,3
2013,10511700036,497879028,RUS,FIN,3
2008,9840692213,2726264631,BEL,FRA,3
2011,9361354313,2505461404,BEL,FRA,3
2012,8693038341,2302517699,BEL,FRA,3
2013,10756637222,3239540452,BEL,FRA,3
2014,8878446733,2940157413,BEL,FRA,3
2008,13624411100,137546646,NOR,FRA,3
2007,11642803998,21932952,RUS,FRA,3
2006,10208770020,29563600,RUS,FRA,3
2008,16725355837,25139311,RUS,FRA,3
2009,10386818548,15711674,RUS,FRA,3
2012,12782911134,91204205,RUS,FRA,3
2010,13366283002,20464625,RUS,FRA,3
2011,16247997434,26069715,RUS,FRA,3
2013,11378306445,39293000,RUS,FRA,3
2014,11041902859,35195339,RUS,FRA,3
2008,1770758936,8959612884,DEU,GBR,3
2006,1848725122,9091378157,NLD,GBR,3
2007,4342812731,11370377013,NLD,GBR,3
2008,7429678402,15094523760,NLD,GBR,3
2009,3193947468,10632760891,NLD,GBR,3
2010,5546586101,14144018775,NLD,GBR,3
2011,6696022681,15924407336,NLD,GBR,3
2012,7231944304,18388771497,NLD,GBR,3
2013,9177197821,16858995064,NLD,GBR,3
2014,6215830303,15394860023,NLD,GBR,3
2015,3128182894,8735762070,NLD,GBR,3
2016,3727866963,7335475376,NLD,GBR,3
2017,4317911758,9793757997,NLD,GBR,3
2000,9790827396,278524741,NOR,GBR,3
2005,20157966540,705817438,NOR,GBR,3
2008,37974006115,571553424,NOR,GBR,3
2003,11452346438,281411236,NOR,GBR,3
2004,13050509447,362202654,NOR,GBR,3
2011,35426217847,404960634,NOR,GBR,3
2012,38547474663,662213117,NOR,GBR,3
2006,25223440272,317418423,NOR,GBR,3
2007,26827278863,903831511,NOR,GBR,3
2009,20485600114,349879604,NOR,GBR,3
2010,27669308812,482301753,NOR,GBR,3
2017,19729700207,279863093,NOR,GBR,3
2013,32574350195,631812640,NOR,GBR,3
2016,14553968926,146985353,NOR,GBR,3
2014,23940597431,749472468,NOR,GBR,3
2015,15525377927,222510488,NOR,GBR,3
2007,1104400518,9577227159,USA,GBR,3
2008,1842018440,11291688970,USA,GBR,3
2011,2311778620,7884546507,USA,GBR,3
2012,3330100549,6963649948,USA,GBR,3
2013,3128225798,7607506036,USA,GBR,3
2011,2379928703,13167143627,CHN,IDN,3
2012,1994672327,16569550528,CHN,IDN,3
2013,2752708523,17377984700,CHN,IDN,3
2014,2265172459,9813415536,CHN,IDN,3
2006,51848729,13151008673,JPN,IDN,3
2007,77195085,13828310606,JPN,IDN,3
2008,225076117,18854490159,JPN,IDN,3
2009,75830050,11405153361,JPN,IDN,3
2010,107649277,15461765379,JPN,IDN,3
2011,227059431,20301635005,JPN,IDN,3
