year,location_code,location_name_short_en,location_id,hs_product_name_short_en,export_value,import_value
1999,FRA,France,77,Vehicles,23843800092,27340875334
1999,GBR,United Kingdom,81,Chemicals,9739526327,11962825069
1999,GBR,United Kingdom,81,Electronics,4826593672,5257215682
1999,GBR,United Kingdom,81,Machinery,32303967955,30686631948
1999,GBR,United Kingdom,81,Vehicles,21061641291,34034397473
1999,HKG,Hong Kong,97,Agriculture,6703295287,7689503188
1999,HKG,Hong Kong,97,Chemicals,8898551457,3733237584
1999,HKG,Hong Kong,97,Electronics,14087237910,17464564842
1999,HKG,Hong Kong,97,Machinery,11132505384,16920759319
1999,HKG,Hong Kong,97,Textiles,11295353779,26461648525
1999,ITA,Italy,111,Agriculture,5812473487,4577597563
1999,ITA,Italy,111,Chemicals,4147610457,7182334706
1999,ITA,Italy,111,Machinery,13997461181,11824836679
1999,ITA,Italy,111,Vehicles,4622451935,9421676712
1999,JPN,Japan,114,Agriculture,1131793004,15869908755
1999,JPN,Japan,114,Chemicals,9547275897,6966067800
1999,JPN,Japan,114,Electronics,42549636055,17601570826
1999,JPN,Japan,114,Machinery,61810038234,24415294177
1999,JPN,Japan,114,Textiles,2816989500,13672088528
1999,JPN,Japan,114,Vehicles,39709425134,6726661381
1999,KOR,South Korea,121,Electronics,13542911282,15719828362
1999,KOR,South Korea,121,Machinery,7108596365,4940331992
1999,MEX,Mexico,138,Agriculture,7506827508,9334237385
1999,MEX,Mexico,138,Chemicals,3388086383,12304552668
1999,MEX,Mexico,138,Electronics,30281252591,23364011060
1999,MEX,Mexico,138,Machinery,19347221319,16028854756
1999,MEX,Mexico,138,Metals,4539291559,6510110913
1999,MEX,Mexico,138,Minerals,7774804849,3082574389
1999,MEX,Mexico,138,Textiles,12798465765,7169402883
1999,MEX,Mexico,138,Vehicles,21076488293,9136236375
1999,MYS,Malaysia,153,Electronics,16758342382,14612393543
1999,NLD,Netherlands,162,Agriculture,15407902651,11523006097
1999,NLD,Netherlands,162,Chemicals,5871456402,5537338842
1999,NLD,Netherlands,162,Electronics,7407832852,3518867839
1999,NLD,Netherlands,162,Machinery,11919472531,14653857665
1999,SGP,Singapore,192,Electronics,9234255412,7685882461
1999,SGP,Singapore,192,Machinery,11796397939,5853982971
1999,TWN,Taiwan,249,Electronics,8547774670,4916134393
1999,TWN,Taiwan,249,Machinery,17613029544,16345053657
1999,USA,United States of America,231,Agriculture,40827152109,43899339343
1999,USA,United States of America,231,Chemicals,44150678593,36912965448
1999,USA,United States of America,231,Electronics,74517416129,111059093711
1999,USA,United States of America,231,Machinery,126915130664,173290371923
1999,USA,United States of America,231,Metals,17216284505,17567298356
1999,USA,United States of America,231,Minerals,6170684028,26867013696
1999,USA,United States of America,231,Other,3321748992,13127203840
1999,USA,United States of America,231,Textiles,13889573916,44662525237
1999,USA,United States of America,231,Vehicles,64811129565,144246399970
2000,ANS,Undeclared Countries,250,Minerals,12675808083,1322345088
2000,ANS,Undeclared Countries,250,Other,16690551808,14968097536
2000,ARE,United Arab Emirates,7,Minerals,13890225780,3683936
2000,BEL,Belgium,18,Agriculture,11571016055,10139401440
2000,BEL,Belgium,18,Chemicals,13757383799,9372790110
2000,BEL,Belgium,18,Minerals,2219619784,9460131627
2000,BEL,Belgium,18,Vehicles,4607375193,7005515283
2000,CAN,Canada,39,Agriculture,37172409542,17197306498
2000,CAN,Canada,39,Chemicals,17043201408,21665472523
2000,CAN,Canada,39,Electronics,17301151836,24629270731
2000,CAN,Canada,39,Machinery,23079981899,43365440041
2000,CAN,Canada,39,Metals,14512135941,12837606179
2000,CAN,Canada,39,Minerals,33781189710,3644115997
2000,CAN,Canada,39,Other,14854925312,4247888384
2000,CAN,Canada,39,Textiles,9405919103,6962285837
2000,CAN,Canada,39,Vehicles,62321337007,36990970461
2000,CHE,Switzerland,41,Machinery,5702163106,5236890327
2000,CHN,China,43,Agriculture,15869211255,11152016421
2000,CHN,China,43,Chemicals,4256311096,10115977296
2000,CHN,China,43,Electronics,49255475967,32846521921
2000,CHN,China,43,Machinery,56176130141,28202503147
2000,CHN,China,43,Textiles,72062368304,15524492666
2000,DEU,Germany,61,Agriculture,10756866399,17342918092
2000,DEU,Germany,61,Chemicals,41607502586,37181933857
2000,DEU,Germany,61,Electronics,17331447777,17517938502
2000,DEU,Germany,61,Machinery,59591975946,59140888407
2000,DEU,Germany,61,Minerals,1192403066,10106511463
2000,DEU,Germany,61,Vehicles,59576853730,28219935211
2000,ESP,Spain,71,Vehicles,8074002384,9089046023
2000,FRA,France,77,Agriculture,11771484660,11565809301
2000,FRA,France,77,Chemicals,17816381015,20783330782
2000,FRA,France,77,Electronics,5473034819,6215308326
2000,FRA,France,77,Machinery,21567664579,33475526572
2000,FRA,France,77,Vehicles,17153036677,23543931847
2000,GBR,United Kingdom,81,Chemicals,16613094975,16292689726
2000,GBR,United Kingdom,81,Electronics,10089068752,12899630696
2000,GBR,United Kingdom,81,Machinery,31787408109,34297228432
2000,GBR,United Kingdom,81,Minerals,278524741,9790827396
2000,GBR,United Kingdom,81,Vehicles,9657164782,16296546346
2000,HKG,Hong Kong,97,Agriculture,7329864892,8522928043
2000,HKG,Hong Kong,97,Chemicals,10115977296,4256311096
2000,HKG,Hong Kong,97,Electronics,36308645351,47490465176
2000,HKG,Hong Kong,97,Machinery,30078942758,30633545402
2000,HKG,Hong Kong,97,Textiles,26200296487,29477668239
2000,IND,India,104,Minerals,1322345088,12675808083
2000,IRL,Ireland,106,Chemicals,9709961476,1275121270
2000,ITA,Italy,111,Chemicals,4434792714,7307889875
2000,ITA,Italy,111,Machinery,13098630495,11116334553
2000,ITA,Italy,111,Other,2902639360,8624713728
2000,ITA,Italy,111,Vehicles,4581955470,8560458485
2000,JPN,Japan,114,Agriculture,1166118710,16220922372
2000,JPN,Japan,114,Chemicals,10002120574,7647987423
2000,JPN,Japan,114,Electronics,80927340118,38420550171
2000,JPN,Japan,114,Machinery,93448685717,41166447374
2000,JPN,Japan,114,Minerals,5107699,27012038855
2000,JPN,Japan,114,Textiles,3052454607,16921043071
2000,JPN,Japan,114,Vehicles,43312208587,5788483744
2000,KOR,South Korea,121,Electronics,17116196398,17886754982
2000,KOR,South Korea,121,Machinery,14115283751,16723400616
2000,MEX,Mexico,138,Agriculture,7798705936,10585047495
2000,MEX,Mexico,138,Chemicals,3585125948,14317253428
2000,MEX,Mexico,138,Electronics,36230264976,29705225781
2000,MEX,Mexico,138,Machinery,22676061638,19322113933
2000,MEX,Mexico,138,Metals,4979543033,7516902456
2000,MEX,Mexico,138,Minerals,13224697040,4554675880
2000,MEX,Mexico,138,Textiles,14486697654,8227026498
2000,MEX,Mexico,138,Vehicles,26506666633,12107546644
2000,MYS,Malaysia,153,Electronics,25354392810,25697223666
2000,MYS,Malaysia,153,Machinery,8455760009,2375720495
2000,NGA,Nigeria,159,Minerals,10334274471,23042238
2000,NLD,Netherlands,162,Agriculture,15710834872,10762073153
2000,NLD,Netherlands,162,Chemicals,7187939195,5425869352
2000,NLD,Netherlands,162,Machinery,18328572420,21841556684
2000,NLD,Netherlands,162,Minerals,19566643090,3412022850
2000,NLD,Netherlands,162,Other,12065458176,8065838080
2000,NOR,Norway,163,Minerals,9790827396,278524741
2000,PHL,Philippines,174,Electronics,6504447412,5420260954
2000,SAU,Saudi Arabia,188,Minerals,26231374789,27490824
2000,SGP,Singapore,192,Electronics,22818682785,24230868380
2000,SGP,Singapore,192,Machinery,10733374035,6833030919
2000,TWN,Taiwan,249,Electronics,25241267270,17550408447
2000,TWN,Taiwan,249,Machinery,20954623135,23241227192
2000,USA,United States of America,231,Agriculture,47825427894,53483517400
